"TCGA.24.1553.01A"	"TCGA.24.1422.01A"	"TCGA.36.1569.01A"	"TCGA.36.1581.01A"	"TCGA.24.1603.01A"	"TCGA.29.1710.01A"	"TCGA.29.1688.01A"	"TCGA.24.1467.01A"	"TCGA.24.1923.01A"	"TCGA.24.2027.01A"	"TCGA.24.1550.01A"	"TCGA.24.1557.01A"	"TCGA.24.1563.01A"	"TCGA.24.1104.01A"	"TCGA.61.1724.01A"	"TCGA.24.1464.01A"	"TCGA.29.2427.01A"	"TCGA.25.1318.01A"	"TCGA.29.1766.01A"	"TCGA.13.1483.01A"	"TCGA.25.1312.01A"	"TCGA.24.1105.01A"	"TCGA.13.1410.01A"	"TCGA.13.1488.01A"	"TCGA.24.2023.01A"	"TCGA.13.1507.01A"	"TCGA.29.1770.01A"	"TCGA.29.1776.01A"	"TCGA.29.1693.01A"	"TCGA.29.1769.01A"	"TCGA.24.1544.01A"	"TCGA.24.1428.01A"	"TCGA.24.2020.01A"	"TCGA.30.1891.01A"	"TCGA.25.2409.01A"	"TCGA.25.1329.01A"	"TCGA.24.1430.01A"	"TCGA.61.1911.01A"	"TCGA.30.1866.01A"	"TCGA.24.2298.01A"	"TCGA.25.1628.01A"	"TCGA.13.1489.01A"	"TCGA.29.1774.01A"	"TCGA.61.1910.01A"	"TCGA.23.1123.01A"	"TCGA.61.1914.01A"	"TCGA.25.2399.01A"	"TCGA.24.1431.01A"	"TCGA.29.1762.01A"	"TCGA.24.1565.01A"	"TCGA.24.1416.01A"	"TCGA.29.1696.01A"	"TCGA.61.1907.01A"	"TCGA.25.1316.01A"	"TCGA.24.2261.01A"	"TCGA.61.1995.01A"	"TCGA.25.1630.01A"	"TCGA.24.1558.01A"	"TCGA.13.2060.01A"	"TCGA.09.2056.01A"	"TCGA.24.1604.01A"	"TCGA.24.2290.01A"	"TCGA.29.1705.01A"	"TCGA.29.1711.01A"	"TCGA.36.1570.01A"	"TCGA.25.1323.01A"	"TCGA.59.2348.01A"	"TCGA.25.1623.01A"	"TCGA.25.1631.01A"	"TCGA.24.2033.01A"	"TCGA.24.1103.01A"	"TCGA.25.1322.01A"	"TCGA.13.1499.01A"	"TCGA.36.1580.01A"	"TCGA.61.1741.01A"	"TCGA.36.1577.01A"	"TCGA.25.1320.01A"	"TCGA.13.1497.01A"	"TCGA.61.1919.01A"	"TCGA.24.1552.01A"	"TCGA.24.1562.01A"	"TCGA.25.1321.01A"	"TCGA.25.2396.01A"	"TCGA.24.1474.01A"	"TCGA.59.2352.01A"	"TCGA.29.1785.01A"	"TCGA.61.1918.01A"	"TCGA.25.1313.01A"	"TCGA.23.1122.01A"	"TCGA.25.1635.01A"	"TCGA.25.1319.01A"	"TCGA.24.1435.01A"	"TCGA.13.1511.01A"	"TCGA.13.1492.01A"	"TCGA.25.2404.01A"	"TCGA.24.2288.01A"	"TCGA.24.2267.01A"	"TCGA.29.1768.01A"	"TCGA.13.1404.01A"	"TCGA.25.2400.01A"	"TCGA.36.1571.01A"	"TCGA.24.2289.01A"	"TCGA.29.1697.01A"	"TCGA.59.2351.01A"	"TCGA.24.1551.01A"	"TCGA.61.1900.01A"	"TCGA.13.1485.01A"	"TCGA.29.1763.01A"	"TCGA.36.1576.01A"	"TCGA.61.2008.01A"	"TCGA.29.2414.01A"	"TCGA.29.1690.01A"	"TCGA.24.2024.01A"	"TCGA.61.2088.01A"	"TCGA.29.1777.01A"	"TCGA.13.1501.01A"	"TCGA.13.1495.01A"	"TCGA.13.1487.01A"	"TCGA.13.1409.01A"
"PCK2"	-0.235325	-0.54625	-0.41425	0.271	0.485	-0.37325	-0.150625	-0.44	-0.794	-0.529	-0.446	0.92475	-0.109	0.067	-0.27025	-0.12335	0.23875	-0.01165	-0.85925	-0.02085	0.00105	0.0584	-0.21025	-0.127	-1.14	0.14975	0.15475	0.0282	-0.672625	0.16475	-0.14125	0.475	-0.321	-0.17035	-0.090885	-0.13625	-0.031625	-0.410125	0.345	-0.49725	-0.196275	0.218375	-0.342	0.47775	1.08	0.164	0.52875	-0.84625	0.218875	-0.24525	-0.53125	0.12775	0.327375	-0.202	0.14375	0.162875	-0.328	-0.23225	-0.07889	-0.12315	0.274	0.077375	-0.51525	-0.34325	-0.04585	-0.59325	-0.54025	0.414375	-0.13115	-0.03235	-0.260625	-0.28425	-0.117	0.06175	-0.379625	0.41675	-0.349	0.02075	0.0948	-0.251	-0.562625	0.00809	-0.11015	0.85775	0.36675	-0.12	0.07475	-0.36625	-0.22025	0.312	-0.627	-0.398305	-0.53425	0.23075	-0.189125	0.284	-0.297	-0.701625	0.56175	0.293	-0.56425	0.097565	0.252875	0.01375	-0.0217	-0.8	0.00395	-0.380125	-0.27	-0.165625	0.0834	0.06275	-0.319125	0.38275	-0.238	-0.40925	-0.852	-0.77025	-0.23225
"PPP5C"	0.1451925	-0.134015	-0.265015	-0.355	-0.548	-0.374015	-0.0862075	0.18	0.417	0.526	0.271	0.508985	0.105	0.359	-0.244015	-0.035615	-0.030015	0.695985	0.258985	-0.137015	0.373985	0.509	0.287985	0.0187	-0.37	0.112485	0.243985	-0.166	0.4509925	-0.236015	-0.086015	0.0462	0.445	-0.312015	-0.1920075	0.952985	0.0237925	0.2269925	0.307	0.309985	0.0065425	0.0033925	0.392	0.285985	0.0639	0.476	-0.377015	0.381985	0.5709925	-0.405015	0.083485	-0.596015	-0.2435075	0.157	0.219985	-0.2254075	0.2	-0.215015	0.037365	-0.392015	-0.162	0.4344925	-0.166015	0.256985	0.105485	0.635985	0.198985	0.1444925	-0.011915	-0.045615	0.1794925	0.492985	0.0132	-0.135015	0.0733575	-0.654015	-0.263	-0.589015	0.195	-0.156	-0.0160075	-0.396	-0.071015	-0.099015	0.265985	0.296	-0.190015	0.152985	0.276985	0.121	-0.266	0.2334925	0.408985	1.104985	0.0008425	0.446	-0.191	0.1869925	-0.253015	-0.165	-0.183015	0.0115025	-0.2770075	0.764985	0.0302	0.552	-0.053015	0.0454925	1.31	-0.0603075	0.0834	0.105685	-0.1675075	-0.412015	0.334	0.246985	-0.217	0.138985	0.847985
"AASDHPPT"	-0.1842	-0.1524	-0.1858	-0.0446	0.0137	-0.2504	-0.3031	-0.548	-0.391	0.908	0.194	-0.0618	-0.135	0.146	-0.6054	-0.1823	-0.09792	-0.5544	-0.5004	-0.1302	0.1266	0.0939	-0.4224	-0.295	0.372	0.2066	-0.0873	0.562	0.3743	0.0946	-0.2394	0.469	0.601	-0.0619	-0.0352	-0.4694	0.4963	-0.5532	0.0274	-0.1425	-0.0143	0.9063	0.748	-0.6414	0.454	0.209	-0.3474	0.1926	0.2603	-0.1455	0.0456	-0.5384	0.2268	0.241	-0.5274	0.0031	0.0572	-0.0054	-0.2474	-0.4014	0.533	-0.4412	-0.3094	0.3496	0.1776	-0.107188	-1.3874	-0.1832	0.2046	0.7396	0.2468	-0.2724	-0.155	-0.5684	0.1243	0.3256	-0.468	0.3146	0.168	-0.0418	-0.11325	-0.165	-0.3054	0.2336	-0.1914	-0.282	-0.10887	-0.3634	-0.3514	-0.267	-0.0722	-0.04188	-0.3634	-0.0761	-0.06137	-0.186	0.155	-0.28945	-0.0064	0.0277	-0.7754	0.2099	0.4198	-0.6674	-0.33	0.0582	-0.2184	0.5388	-0.0379	0.3783	-0.0074	-0.2404	0.2393	-0.0597	-0.129	0.0836	-0.187	0.1816	-0.4354
"MAP1B"	-0.6608	-0.0616	0.2254	-0.473	0.753	-0.6016	-0.28375	-0.911	0.0451	0.161	0.754	0.5864	0.244	-0.435	-0.2438	-0.5636	-0.4606	-0.1891	0.2434	0.4824	-0.5256	-0.207	-0.5496	0.193	0.251	-0.7656	-0.1367	-0.0766	0.3207	-0.4746	1.4714	-0.654	-0.842	-0.3676	-0.4143	0.6164	0.3982	-0.5243	0.0313	-0.3896	0.18245	-0.36045	1.37	-1.0196	-0.974	-0.346	0.3934	-0.6736	1.0062	-0.0616	0.9514	-0.2643	-0.24105	0.909	-0.8486	-0.1819	0.434	-0.6416	-0.3956	1.4114	-0.703	-1.0623	-0.0955	0.2724	0.5394	0.0304	0.8814	0.4852	-0.6646	-0.2451	-0.3743	0.5444	0.57	0.6964	-0.4073	0.3584	0.431	-0.4986	-0.291	1.29	-0.4108	-0.622	0.6944	1.0514	-0.4016	-1.05	-0.0766	-0.3546	-0.0516	-0.382	0.461	0.6982	-0.5536	-0.4606	0.2842	-0.287	-0.645	0.3033	0.0264	-0.537	0.7574	-0.7518	0.1712	-0.3696	0.0859	0.045	0.4944	0.5797	0.396	0.1902	1.03	0.0594	1.2257	-0.4156	-0.171	-0.0086	0.568	0.5794	0.7794
"STMN1"	-0.3226	-1.176	-1.788	0.0448	0.77	-0.42	-0.2425	0.744	0.366	-0.0777	0.396	0.37	-0.502	-0.615	0.424	-1.198	-0.627	-0.408	-0.1566	0.492	0.173	-0.463	-0.1001	-0.427	-0.47	-0.2643	0.261	-1.12	-0.9585	-0.18473	0.456	0.747	0.2	-0.538	-0.62	0.069	0.1956	-0.24885	1.39	0.502	0.018	-0.6	0.312	0.577	0.683	-0.578	-0.1009	-0.351	0.681	-0.873	-0.678	-1.478	-0.029	0.392	0.726	0.8025	-0.128	0.561	0.056	-0.775	-0.648	-0.114	-0.451	-0.67	-0.17092	0.37	0.006	-0.2765	-0.463	0.301	-1.0515	0.207	-0.00207	-1.288	1.376	-1.238	0.121	0.818	-0.226	0.344	-0.244	-0.36	-0.587	0.653	-0.2708	-0.583	0.029	-0.498	0.644	-0.191	-0.216	-0.2	0.162	1.252	-0.155	-0.17	-0.554	-0.8025	1.052	-0.403	-0.2036	-0.8635	0.799	-0.556	-0.257	0.857	-1.156	0.09725	-0.155	0.065	-0.366	-1.348	-0.8875	-0.853	0.342	-0.604	0.104	0.635	-0.17184
"SORD"	-0.21525	0.2385	0.1995	0.0198	-0.359	-0.7265	0.87625	0.422	1.06	-0.72	-0.835	-0.2395	-0.185	-0.0182	-0.1645	0.0212	-0.1395	-0.9315	-0.3435	0.6395	0.1725	0.0126	-0.2575	-0.885	-0.0636	-0.3375	-0.3595	0.62	-0.15825	-1.1455	0.3745	-0.265	-0.388	-0.6445	0.88925	-0.3315	-0.75925	-0.77925	-1.04	-0.8085	-0.31225	-0.50975	-0.603	0.6225	0.281	-0.2	0.1655	0.5855	-0.28425	0.1045	0.1605	1.0845	1.04625	1.21	-0.5055	-0.28725	0.352	0.4115	-0.4615	-0.0812	0.658	0.0026	-0.7005	0.4875	0.2605	-0.2305	-0.6105	-0.0621	1.1645	-0.0414	-0.44775	-0.0643	-0.932	0.0975	-0.95075	-0.0741	-0.246	-0.5955	-0.298	-0.165	0.78975	0.429	0.0103	0.0905	0.6045	0.121	-0.0064	-0.2745	-0.7235	-0.524	-0.436	-0.64425	2.1745	0.5455	-0.52975	-0.51	0.114	-0.68425	0.5175	0.412	0.3615	-0.60075	0.93175	-0.4725	0.0192	-0.518	-0.0392	0.03181	-0.656	-0.36875	-0.416	0.7355	0.43325	0.0518	-0.239	-0.1495	-0.606	-0.4345	1.3045
"PRPS2"	0.16393	-0.05914	0.11406	0.863	-0.229	-0.14514	0.42543	0.0368	-0.16	0.415	0.347	0.42786	0.226	-0.228	0.75286	-0.05614	0.04846	-0.38314	-0.03214	0.36786	-0.45014	-0.666	0.00636	0.178	-0.261	-0.08714	0.18396	-0.0254	-0.05857	0.61886	-0.12814	1.17	0.922	0.03366	-0.12457	0.20786	0.48793	-0.33157	-0.0873	-0.11514	-0.18707	0.41143	0.589	-0.17914	-0.19	-0.429	-0.04514	0.08416	0.23543	0.08856	0.12516	0.24886	0.32893	0.713	0.11446	0.02022	0.585	0.16786	0.04956	0.31686	-0.203	0.61643	0.09852	0.47986	0.04796	-0.32014	-0.24014	-0.27507	0.65686	-0.24914	0.00558	-0.01514	0.37	-0.33014	-0.18557	0.88586	-0.289	1.53086	-0.081	0.185	-0.14362	0.298	0.24886	0.03486	0.26186	0.131	0.13466	-0.02914	0.07356	0.128	-0.439	0.28843	-0.02314	0.90186	0.14183	0.00539	-0.0155	0.00283	0.80986	0.171	0.13266	0.02393	0.52143	-0.29114	-0.254	0.483	0.06176	0.26843	0.0739	-0.01082	-0.36	0.10566	0.38193	-0.84714	0.498	0.07216	0.199	0.06656	-0.42014
"KPNA2"	-1.0831175	-0.772235	-0.929235	0.504	-0.4	-0.585235	0.6248825	0.493	-0.537	0.804	-0.00575	0.355765	-0.212	-0.259	0.100365	0.402765	-0.355235	-0.260235	-0.433235	0.155765	0.244765	0.535	0.534765	-0.453	-0.267	0.396765	-0.049735	-1.02	-0.2006175	0.492765	-0.742235	1.03	0.177	-0.656235	-0.3706175	-0.140235	0.2188825	0.3713825	0.934	1.320765	0.0569325	0.0835325	0.395	-0.419235	-1.3	0.0981	0.744765	0.311765	0.6563825	-0.863235	0.578765	-0.521235	0.3078825	-0.879	0.584765	0.3213825	-0.116	0.627765	0.311765	-0.006435	-0.596	0.6203825	-0.250235	-0.540235	0.302765	-0.236235	0.736765	-0.0759675	-0.110235	-0.291235	0.9978825	0.551765	-0.632	-0.148235	0.1765825	0.188765	-0.0954	0.426765	0.103	1.72	-0.5746175	-0.569	0.261765	0.564765	-0.332235	-0.0241	-0.434235	-0.463235	0.231765	-0.0138	0.0343	-0.0629175	0.165765	0.928765	-0.3157325	0.0461	0.0373	-0.6556175	0.591765	-0.135	0.028655	0.0168825	0.6463825	-0.003435	-0.256	0.594	-0.677235	-0.2786175	-0.0683	-0.4091175	-0.345	-1.289235	0.1380825	-0.579235	-0.601	0.167765	1.02	0.481765	-1.399235
"PRKCD"	0.274025	-0.21495	-0.42695	0.301	0.0736	-0.25895	0.169025	0.377	0.146	-0.703	-0.741	0.19805	-0.495	0.178	0.09605	-0.49695	-0.17305	0.42805	-0.12645	0.03605	0.05905	0.267	-0.01105	0.944	0.283	-0.18095	0.36105	-0.0831	-0.507475	0.52705	0.26405	-0.322	0.7	0.16805	0.152725	0.33805	-0.04299	-0.138125	-0.0716	-0.69295	-0.088975	-0.489475	-0.421	-0.05565	0.676	-0.178	0.03405	0.29705	-0.109025	-0.03655	0.06505	0.41705	-0.204475	-0.427	0.16505	0.372025	0.155	-0.46395	-0.42695	0.09405	-0.335	0.507525	-0.16585	-0.07534	-0.49195	-0.20695	0.24805	0.009525	0.55105	0.29905	-0.061975	-0.14295	-0.0905	-0.23395	-0.049325	0.19805	-0.336	0.30405	-0.374	0.438	0.289525	-0.219	-0.18595	0.83905	0.04005	-0.676	0.16205	-0.33295	-0.10175	0.113	-0.504	-0.087375	-0.07256	0.20405	-0.398375	-0.106	-0.0255	-0.329475	0.10005	-0.000233	0.00945	-0.286975	-0.374975	-0.17105	-0.17	0.0457	-0.11525	-0.680975	-0.387	-0.234975	0.232	0.13405	-0.656975	0.42105	-0.165	-0.15975	-0.0966	-0.33695	-0.60395
"SMC2"	-0.55892475	-0.5998495	-0.9298495	0.488	0.269	-0.5118495	0.16167525	0.267	-0.315	0.513	0.0796	0.2851505	-0.214	-0.475	0.0701505	-0.5588495	-0.2418495	-0.1702495	-0.4188495	0.0181505	0.0001505	-0.135	0.1441505	-0.189	0.0826	0.1491505	0.1261505	-0.521	-0.30392475	0.6851505	-0.1380485	0.664	0.46	-0.2828495	-0.41792475	0.0371505	0.43057525	-0.42292475	0.603	0.4121505	0.09157525	-0.26632475	0.13	-0.4708495	0.36	-0.256	-0.2708495	-0.2738495	0.89307525	-0.8018495	-0.0870495	-0.2418495	-0.18287475	0.173	0.8261505	-0.10337475	-0.0327	0.0181505	-0.1130495	-0.3828495	-0.236	0.34557525	0.5261505	-0.6158495	0.0581505	-0.0934495	-0.2668495	-0.42692475	-0.3738495	0.3151505	0.38157525	0.3561505	-0.313	-0.6498495	0.12307525	0.7551505	0.00667	0.4841505	0.164	0.759	-0.19887475	-0.213	0.0901505	0.4081505	-0.2316495	-0.0766	-0.3718495	-0.4778495	0.4851505	0.523	-0.219	0.11757525	-0.1992495	1.1121505	-0.18627475	0.0338	-0.27	-0.66342475	0.7091505	-0.0114	-0.3638495	-0.54192475	0.43507525	0.4931505	-0.451	0.711	-0.7528495	-0.53392475	0.364	-0.18187475	-0.481	-0.8008495	-0.62192475	-0.4428495	-0.304	0.2271505	-0.114	0.3101505	-0.6648495
"SPINT2"	-0.7335	-0.921	-0.763	-0.367	-0.653	-1.214	0.348	0.198	-0.633	-0.498	-0.0376	0.405	-0.675	-0.0762	0.157	-1.164	-0.06	0.05	-0.352	-0.437	1.266	0.0996	0.308	-1.18	0.53	-0.1305	0.091	-0.337	-0.1955	-0.428	2.246	1.03	0.659	-1.184	0.3645	0.393	-0.17275	0.04985	0.466	0.073	-0.2781	-0.7925	-0.363	-0.1211	-2.45	0.34	-0.1549	-0.06792	0.326	-1.204	-0.529	0.099	0.0398	-0.733	2.056	-0.7635	-0.646	1.586	-0.794	-0.941	-0.55	-0.1995	0.197	-0.0945	0.512	0.136	0.381	0.345	-0.0924	-0.0357	0.164	0.808	-0.875	-0.616	0.6865	-0.512	-0.451	-0.08008	-0.573	1.15	-0.2245	0.353	-1.004	-0.535	0.208	-0.0886	-0.711	0.0144	0.778	0.545	1.06	0.0285	0.371	0.559	1.258	-0.62	-0.9	-1.597	-0.217	-0.431	0.775	0.153	0.2605	-0.502	0.524	-0.258	-0.722	0.8645	-0.888	-0.7325	-1.13	-1.324	-0.004	-1.254	-0.233	0.332	-0.0954	-0.454	-1.324
"ATIC"	-0.292475	0.14375	0.04775	-0.22	0.106	-0.11765	-0.038275	-0.234	-0.0649	-0.756	-0.302	-0.37125	-0.503	-0.0265	0.12275	-0.07435	0.05175	-0.22825	0.23875	0.52175	-0.19155	-0.0914	-0.0967	-0.448	-0.0682	0.05075	-0.10534	-0.281	-0.465625	-0.49125	0.03675	-0.79	-0.363	-0.18135	-0.300125	-0.46725	-0.162425	-0.345625	-0.217	0.59975	-0.379125	1.195875	0.0596	0.53875	0.365	-0.842	-0.25225	0.20075	0.009875	0.18875	0.14375	0.50675	-0.273125	0.339	-0.08891	0.328375	0.285	0.19675	0.09475	0.06275	0.581	-0.647125	0.07075	-0.68325	-0.12395	-0.0998	-0.36425	-0.326625	0.04875	-0.12645	-0.299125	0.00165	-0.499	-0.07965	-0.143475	-0.19125	-0.233	-0.27425	0.141	-0.15	0.283375	0.481	-0.24825	-0.40525	-0.27325	-0.216	0.22975	-0.25225	-0.25525	-0.387	-0.00763	0.061675	-0.07055	-0.41225	-0.344625	-0.228	0.189	-0.304825	-0.68525	0.137	0.02075	-0.349625	0.066375	-0.39225	-0.188	-0.707	-0.18515	0.341375	-0.373	-0.635625	0.173	0.01375	0.505375	0.15675	-0.0956	-0.02175	-0.143	-0.04035	0.68175
"SUPT5H"	0.07485825	-0.5562835	-0.1430835	-0.437	0.828	-0.1807835	-0.15729175	-0.0253	-0.000464	0.728	0.195	-0.0307835	-0.343	-0.511	-0.1436835	-0.2062835	-0.2422835	-0.0014835	-0.2382835	-0.6372835	0.5327165	0.098	0.1087165	-0.427	-0.16	0.0847165	-0.2332835	-0.34	-0.22264175	-0.0845835	0.7027165	0.318	0.487	-0.4002835	-0.13844175	0.0527165	-0.40964175	0.08745825	0.521	-0.0613835	-0.10441175	-0.04149175	0.269	0.2467165	0.0926	-0.0503	-0.1607835	0.1107165	0.37885825	-0.2122835	-0.1776835	-0.1225835	-0.14678825	0.18	1.2917165	-0.01539175	-0.319	1.3917165	-0.1920835	-0.1751835	-0.205	0.01690825	0.1827165	-0.2152835	-0.1315835	0.1297165	-0.0112835	0.63385825	0.3447165	0.0917165	-0.29414175	0.1557165	-0.138	-0.2992835	1.00435825	0.0877165	-0.0238	0.0047165	-0.241	1.76	0.04395825	0.13	-0.1009535	0.1637165	-0.0037835	-0.0965	-0.0430835	-0.1677835	-0.1642835	0.754	-0.471	-0.67214175	-0.0926735	0.7127165	0.63085825	0.0373	0.294	-0.62014175	-0.1865835	-0.266	0.5397165	-0.23429175	0.47285825	-0.1567835	-0.584	0.324	-0.3342835	0.53335825	0.0803	-0.30164175	-0.00211	-0.3742835	-0.06539175	-0.0722835	-0.305	-0.2422835	0.0699	0.0737165	0.2547165
"TBCB"	0.0625875	-0.024625	-0.173425	-0.712	-0.0349	0.084575	0.1067375	-0.399	0.132	0.214	0.416	-0.097125	-0.138	-0.408	0.240575	-0.510425	-0.361425	0.144575	-0.199425	-0.651425	0.495575	0.48	0.465575	-0.0679	0.235	-0.254425	0.388575	-0.37	0.1629875	-0.267425	1.577575	0.373	-0.759	-0.434425	-0.2179625	0.852575	-0.2179125	0.0212875	1.1	0.109575	0.3867875	-0.3047125	0.441	0.426575	-0.568	-0.0919	-0.596425	0.387575	1.0787875	-0.285425	0.189575	-0.000525	-0.3817125	-0.47	1.727575	0.6357875	0.0935	0.097575	-0.279425	-0.080025	-0.387	0.0307875	0.553575	0.001675	-0.277425	0.204575	-0.124625	-0.0187125	0.370575	0.293575	0.0204875	0.722575	-0.329	-0.456425	1.3287875	-0.170425	-0.072	-0.463425	-0.184	1.24	0.0753375	-0.0481	-0.321425	0.056575	-0.197425	-0.00463	-0.007025	-0.267425	-0.295425	0.595	-0.273	-0.5832125	0.706575	0.609575	-0.0627125	-0.262	-0.206	-0.5712125	-0.356425	-0.226	0.386575	-0.1827125	0.2697875	-0.316425	-0.361	0.211	0.013475	0.4432875	-0.298	0.0482875	0.0816	-0.863425	0.0327875	-0.575425	0.0966	0.039575	0.268	-0.347425	0.863575
"PROSC"	-0.0999	0.2731	-0.1469	-0.0427	0.0445	-0.0259	0.1505	-0.0881	0.143	-0.0119	0.0758	-0.0259	0.124	-0.0875	-0.1259	-0.0419	0.2261	0.5651	0.0223	0.0457	0.1328	-0.162	0.0541	0.0662	-0.202	-0.1819	-0.0489	-0.033	0.26405	0.2371	1.3141	0.0655	0.142	0.3911	-0.45445	0.6171	0.08695	0.1391	-0.0731	0.074358	0.57505	0.10855	-0.0469	0.4721	0.627	-0.139	0.2421	-0.3629	0.04535	0.1204	-0.0279	0.5281	-0.22795	0.373	-0.5289	0.20885	-0.0548	-0.0949	-0.0339	-0.3759	0.595	0.06805	-0.5309	-0.6509	-0.0989	0.0277	-0.5179	0.44805	0.2801	0.1217	0.23705	0.073842	-0.119	-0.0749	-0.24295	0.3361	-0.215	0.113	-0.267	-0.233	0.36005	-0.552	-0.1459	-0.4049	0.4991	0.38	-0.3819	-0.1189	-0.1629	-0.0769	0.159	-0.17595	0.1327	0.7001	0.154	-0.0721	0.659	0.13765	-0.1479	0.371	0.0847	-0.12845	-0.12545	-0.1799	0.0755	0.209	0.2401	-0.0051	0.147	-0.12995	0.215	0.2041	0.32155	0.4371	0.067	0.0091	-0.394	0.3811	0.9751
"GALE"	-0.53465	-0.4835	-1.3025	-0.262	0.92	-0.0065	-0.63725	0.209	0.509	-0.467	0.399	-0.1545	-0.286	0.767	-0.4125	-0.7455	-0.3833	0.5875	-0.0895	0.3065	0.8175	1.58	-0.5075	-0.231	0.702	-0.2717	-0.5655	-0.354	0.27925	0.8075	0.8175	-0.738	-1.09	-0.7695	0.78325	0.5065	-0.72075	1.11875	0.988	-0.5925	-0.2484	-0.1056	-0.555	-0.8245	0.0809	0.675	0.3495	0.6555	-0.90925	-0.8005	-1.2175	-0.2711	0.10225	-0.781	-0.9595	0.50325	0.233	-0.1145	0.0395	-0.0475	-0.457	0.02385	-0.5265	-0.1525	-0.7275	-0.5745	-1.0545	0.28425	-0.29721	-0.2767	-0.77975	0.0995	-0.34	-0.4985	-0.39025	-0.5775	-0.599	-0.1565	-0.417	0.102	0.09005	0.347	-0.3135	0.7375	-0.8335	-0.408	0.2175	-0.5025	-0.3571	-0.152	-0.131	-0.63975	0.1675	-0.5015	-0.4772	-0.966	0.436	-0.46725	-0.1265	-0.673	-0.0155	0.31055	-0.05035	-0.6495	-0.738	-0.935	0.1375	-0.17175	-0.113	-0.3551	-1.33	-0.0985	-0.63575	0.8975	-0.594	-0.0915	0.181	-0.6405	0.3135
"PODXL"	-0.3410825	-0.396845	0.308155	-1.49	0.776	-0.708845	-0.9829225	0.21	-0.157	-0.646	-0.935	-0.462845	-0.302	-0.238	0.802155	-0.390845	-0.612845	0.632155	-0.589845	-1.477845	0.334155	0.411	0.752155	-0.944	0.472	-0.030845	0.270155	0.317	0.8020775	0.125155	-0.634845	-0.581	0.114	0.397155	0.2790775	-0.181145	-0.0471725	-0.7319225	0.621	-0.059845	0.0420775	-1.0789225	-0.522	0.802155	0.342	-0.275	0.062155	0.356155	0.3775775	-0.545845	0.380155	-0.451845	0.3725775	-0.603	-0.247745	0.5445775	-0.351	-0.143845	-0.450845	-0.263335	1.09	-0.6124225	0.506155	-0.684845	0.079155	0.283155	1.612155	-0.0084225	0.010155	1.512155	-0.6654225	-0.471845	-0.267	0.229155	0.0990775	0.289155	-0.249	-1.277845	-0.913	0.165	-0.0059225	0.264	-0.803845	-1.607845	0.368155	-1.46	-0.892845	-0.306545	-0.877845	0.0742	-0.777	-0.8469225	-1.084845	-0.616845	-0.2353225	0.267	-0.176	-1.3424225	-0.569845	0.174	0.882155	-0.7424225	0.0763775	0.387155	-0.624	1.22	0.538155	-0.3539225	-1.11	-0.4989225	0.198	-0.383845	0.8015775	0.048155	0.207	0.192155	-0.261	-1.199845	0.495155
"NUDT5"	-0.193325	-0.24965	-0.00275	0.673	0.688	-0.36565	-0.090475	0.183	-0.568	-0.625	0.0744	0.16335	0.0236	-0.182	1.04235	-0.33065	0.58735	-0.08365	0.31635	-0.04685	0.03069	-0.401	-0.30965	0.101	-0.0108	-0.05945	-0.02535	-0.173	0.091745	0.63035	0.37435	0.107	-0.832	0.03107	-0.147325	-0.17665	-0.182325	0.136575	0.641	0.25435	0.144525	-0.165325	0.256	-0.38765	0.467	-0.44	-0.05855	-0.16465	0.320675	0.31835	0.22435	-0.10765	-0.068165	-0.136	-0.02165	0.313675	-0.317	0.22435	0.68935	0.40035	0.0914	-0.124825	0.17635	-0.04515	-0.26765	-0.53165	0.41735	0.122475	0.26835	-0.28965	0.147675	0.25035	-0.229	0.76935	0.525675	-0.53465	-0.12	0.30735	0.0758	-0.154	0.161775	0.567	-0.39865	0.73735	0.17735	0.178	-0.05595	-0.72165	-0.25565	-0.263	-0.132	-0.716825	0.75435	0.70135	-0.091325	0.613	0.009	-0.371325	-0.19765	-0.32	0.74635	-0.273825	-0.570325	0.12035	-0.304	-0.69	-0.18465	-0.029025	-0.427	-0.995825	0.681	-1.08765	-0.585825	0.10325	0.411	-0.28165	-0.371	0.06055	1.16235
